x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,Y
0.08,16.99,0.09,1.78,0.04,0.17,0.001,0.04,0.07,0.76,0.49,0.003,0.109,17.16,1,0.01,2.04,0.002,1.58,0.09,0.05,0.03,0
0.01,22.06,0.06,0.23,0.02,0.09,0.05,0,1.65,0.61,0.78,0.78,0.146,16.5,1.4,0.003,0.19,0.01,1.78,0.05,0.06,0.06,0
0,4.89,0.04,0.77,0.05,0.59,0,0.01,0.2,0.86,0.1,0.005,0.191,18.68,1.68,0.007,0.43,0,0.19,0,0.03,0.02,0
0.08,26.23,0.01,0.43,0.01,0.02,0.03,0.07,0.94,1.13,0.81,0.81,0.017,1.55,1.81,0.008,4.56,0.08,1.24,0.03,0.09,0.05,0
0.01,1.37,0.04,0.87,0,0.28,0.01,0.09,1.77,0.78,0.22,0.005,0.053,0.48,1.65,0.006,1.63,0.01,1.46,0.01,0.09,0.05,0
0.05,19.99,0.09,0.44,0.04,0.06,0.06,0.06,1.93,0.02,0.49,0.007,0.194,11.49,1.05,0.008,9.88,0.05,0.1,0.06,0.09,0.02,0
0.06,1.81,0.01,0.38,0.09,0,0.03,0.03,0.03,0.73,0.9,0.9,0.024,9.49,1.71,0.007,0.05,0.06,6.69,0.03,0.03,0.08,0
0.07,3.83,0.07,0.19,0.04,0.08,0.08,0.02,0.5,1.31,0.13,0.009,0.068,13.52,1.35,0,0.33,0.07,0.4,0.08,0.06,0.03,0
0,8.02,0,0.78,0.09,0.02,0.05,0.05,1.56,1.47,0.97,0.97,0.166,12.39,1.29,0.005,5.36,0,0.92,0.05,0.07,0.01,0
0.07,21.55,0.07,1.12,0.09,0.05,0.1,0.08,1.26,0.04,0.46,0.007,0.046,11.37,1.44,0.007,3.3,0.07,0.12,0.1,0.01,0.07,0
0.01,8.46,0.05,0.25,0.1,0.05,0.01,0.08,1.33,0.71,0.66,0.66,0.014,7.64,1.55,0.006,7.78,0.01,5.49,0.01,0.04,0.02,0
0.09,9.94,0.04,0.15,0.03,0.26,0.02,0.07,0.73,1.06,0.69,0.69,0.011,8.32,1.47,0.007,0.47,0.09,0.35,0.02,0.05,0.08,0
0.07,10.54,0.06,0.72,0.08,0.12,0.09,0.04,0.88,1.13,0.5,0.5,0.03,8.25,1.8,0.006,4.8,0.07,1.72,0.09,0.04,0.03,0
0.08,24,0.07,0.28,0.09,0.01,0.07,0.06,1.43,0.63,0.59,0.59,0.146,2.27,1.24,0.008,3.55,0.08,0.04,0.07,0.05,0.07,0
0.05,24.52,0.09,1.83,0.1,0.21,0.02,0.04,0.99,0.36,0.34,0.007,0.114,7.65,1.3,0.001,0.68,0.05,5.42,0.02,0.09,0,0
0.08,14.36,0.05,1.31,0.05,0.08,0.03,0.04,0.26,1.41,0.34,0.004,0.05,7.85,1.16,0.003,0.33,0.08,0.11,0.03,0.06,0.04,0
0.01,6.37,0.05,0.36,0.08,0.02,0.06,0.05,1.58,0.43,0.98,0.98,0.187,8.88,1.77,0.001,4.45,0.01,0.07,0.06,0.05,0.07,0
0.05,21.69,0.07,0.83,0.08,0.04,0.03,0.09,1.65,0.03,0.17,0.001,0.067,5.56,1.64,0.001,0.15,0.05,1.27,0.03,0.03,0,0
0.09,9.66,0.01,0.38,0.05,0.08,0.04,0.03,1.52,1.02,0.39,0.002,0.071,17.71,1.71,0.003,4.55,0.09,1,0.04,0.08,0.02,0
0.09,27.01,0.08,0.64,0.09,0.05,0.08,0.01,0.69,1.39,0.89,0.89,0.005,8.17,1.46,0.005,0.42,0.09,0.37,0.08,0.09,0,0
0.01,17.91,0.09,0.36,0.07,0.17,0.03,0.03,0.55,1.01,0.68,0.68,0.198,11.97,1.02,0.007,0.1,0.01,0.57,0.03,0.04,0.06,0
0.03,5.21,0.09,2.39,0.05,0.13,0.04,0.05,0.29,1.14,0.77,0.77,0.174,9.12,1.1,0.006,3.5,0.03,0.34,0.04,0.04,0.09,0
0.07,18.2,0.09,0.63,0.04,0.01,0.08,0.02,0.56,1.49,0.58,0.58,0.05,11.82,1.06,0.003,3.98,0.07,0,0.08,0,0.06,0
